"name","id","Con","Green","Lab","LibDem","Plaid","SNP","UKIP","Win","Second"
"Harlow","E14000729",48.9,2.2,30,2,0,0,16.3,"Conservative","Labour"
"Harrogate & Knaresborough","E14000730",52.7,4.4,10.1,22.1,0,0,10.6,"Conservative","Liberal Democrat"
"Harrow East","E14000731",50.3,1.7,40.6,2.1,0,0,4.8,"Conservative","Labour"
"Harrow West","E14000732",42.2,2.8,47,3.4,0,0,4.4,"Labour","Conservative"
"Hartlepool","E14000733",20.9,3.4,35.6,1.9,0,0,28,"Labour","UKIP"
"Harwich & Essex North","E14000734",51,4.4,19.7,7.4,0,0,17.5,"Conservative","Labour"
"Hastings & Rye","E14000735",44.5,3.8,35.1,3.2,0,0,13.3,"Conservative","Labour"
"Havant","E14000736",51.7,5.2,15.9,6.5,0,0,20.6,"Conservative","UKIP"
"Hayes & Harlington","E14000737",24.7,1.8,59.6,2,0,0,12,"Labour","Conservative"
"Hazel Grove","E14000738",41.4,2.6,17.5,26.2,0,0,12.2,"Conservative","Liberal Democrat"
"Hemel Hempstead","E14000739",52.9,3.3,23.8,4.8,0,0,14.6,"Conservative","Labour"
"Hemsworth","E14000740",22.9,0,51.3,3.2,0,0,20.2,"Labour","Conservative"
"Hendon","E14000741",49,2,41.5,2.2,0,0,5.2,"Conservative","Labour"
"Henley","E14000742",58.5,6.9,12.5,11.2,0,0,10.9,"Conservative","Labour"
"Hereford & Herefordshire South","E14000743",52.6,7.2,12.8,10.6,0,0,16.8,"Conservative","UKIP"
"Herefordshire North","E14000847",55.6,7,11.4,12,0,0,14,"Conservative","UKIP"
"Hertfordshire North East","E14000845",55.4,5.3,18.9,7.6,0,0,12.9,"Conservative","Labour"
"Hertfordshire South West","E14000951",56.9,4.5,16.3,10.3,0,0,11.5,"Conservative","Labour"
"Hertford & Stortford","E14000744",56.1,4.8,17.9,7.8,0,0,13.4,"Conservative","Labour"
"Hertsmere","E14000745",59.3,0,22.4,5.5,0,0,12.7,"Conservative","Labour"
"Hexham","E14000746",52.7,5.6,24.9,6.8,0,0,9.9,"Conservative","Labour"
"Heywood & Middleton","E14000747",19.1,2.3,43.1,3.3,0,0,32.2,"Labour","UKIP"
"High Peak","E14000748",45,3.6,35.3,4.7,0,0,11.4,"Conservative","Labour"
"Hitchin & Harpenden","E14000749",56.9,5.5,20.6,8.1,0,0,8.9,"Conservative","Labour"
"Holborn & St Pancras","E14000750",21.9,12.8,52.9,6.5,0,0,5,"Labour","Conservative"
"Hornchurch & Upminster","E14000751",49,2.6,20.1,2.7,0,0,25.3,"Conservative","UKIP"
"Hornsey & Wood Green","E14000752",9.3,5.4,50.9,31.8,0,0,2.2,"Labour","Liberal Democrat"
"Horsham","E14000753",57.3,3.9,11.4,11.7,0,0,14,"Conservative","UKIP"
"Houghton & Sunderland South","E14000754",18.5,2.8,55.1,2.1,0,0,21.5,"Labour","UKIP"
"Hove","E14000755",39.9,6.8,42.3,3.6,0,0,6.3,"Labour","Conservative"
"Huddersfield","E14000756",26.8,6.9,44.9,5.8,0,0,14.7,"Labour","Conservative"
"Hull East","E14000771",15.9,2.3,51.7,6.5,0,0,22.4,"Labour","UKIP"
"Hull North","E14000772",15,5.8,52.8,9,0,0,16.3,"Labour","UKIP"
"Hull West & Hessle","E14000773",17.5,3,49.2,10,0,0,19.9,"Labour","UKIP"
"Huntingdon","E14000757",53,3.9,18.3,7.8,0,0,16.9,"Conservative","Labour"
"Hyndburn","E14000758",31.9,2.6,42.1,2,0,0,21.3,"Labour","Conservative"
"Ilford North","E14000759",42.7,2.1,43.9,2.3,0,0,8.9,"Labour","Conservative"
"Ilford South","E14000760",25.9,2.9,64,2,0,0,5.2,"Labour","Conservative"
"Inverclyde","S14000038",10,0,30.3,2.5,0,55.1,1.6,"Scottish National Party","Labour"
"Inverness, Nairn, Badenoch & Strathspey","S14000039",5.9,2.4,7.5,31.3,0,50.1,2.1,"Scottish National Party","Liberal Democrat"
"Ipswich","E14000761",44.8,3.6,37.1,2.9,0,0,11.7,"Conservative","Labour"
"Isle of Wight","E14000762",40.7,13.4,12.8,7.4,0,0,21.2,"Conservative","UKIP"
"Islington North","E14000763",17.2,10.2,60.2,8.1,0,0,4,"Labour","Conservative"
"Islington South & Finsbury","E14000764",22.2,7.6,50.9,10.9,0,0,7.6,"Labour","Conservative"
"Islwyn","W07000077",15.2,1.9,49,2.7,10.7,0,19.6,"Labour","UKIP"
"Jarrow","E14000765",17.1,3.4,55.7,3.2,0,0,19.7,"Labour","UKIP"
"Keighley","E14000766",44.3,3.4,38.1,2.7,0,0,11.5,"Conservative","Labour"
"Kenilworth & Southam","E14000767",58.4,4,15.3,10.1,0,0,11.2,"Conservative","Labour"
"Kensington","E14000768",52.3,5.1,31.1,5.6,0,0,4.5,"Conservative","Labour"
"Kettering","E14000769",51.8,3.5,25.2,3.2,0,0,16.1,"Conservative","Labour"
"Kilmarnock & Loudoun","S14000040",12.5,0,30.4,1.5,0,55.7,0,"Scottish National Party","Labour"
"Kingston & Surbiton","E14000770",39.2,3.9,14.5,34.5,0,0,7.3,"Conservative","Liberal Democrat"
"Kingswood","E14000774",48.3,2.8,29.6,3.8,0,0,14.8,"Conservative","Labour"
"Kirkcaldy & Cowdenbeath","S14000041",9.9,0,33.4,2.2,0,52.2,2.3,"Scottish National Party","Labour"
"Knowsley","E14000775",6.6,2.5,78.1,2.9,0,0,9.8,"Labour","UKIP"
"Lanark & Hamilton East","S14000042",15.9,0,30.5,2.2,0,48.8,2.6,"Scottish National Party","Labour"
"Lancashire West","E14001033",32.4,3.2,49.3,2.6,0,0,12.2,"Labour","Conservative"
"Lancaster & Fleetwood","E14000776",39.2,5,42.3,3.3,0,0,9.7,"Labour","Conservative"
"Leeds Central","E14000777",17.3,7.9,55,3.4,0,0,15.7,"Labour","Conservative"
"Leeds East","E14000778",20.9,2.9,53.7,3.4,0,0,19,"Labour","Conservative"
"Leeds North East","E14000779",32.9,5.3,47.9,5.3,0,0,7.7,"Labour","Conservative"
"Leeds North West","E14000780",18.6,7,30.1,36.8,0,0,6.9,"Liberal Democrat","Labour"
"Leeds West","E14000781",20.1,8.4,48,3.9,0,0,18.5,"Labour","Conservative"
"Leicester East","E14000782",23,3.1,61.1,2.6,0,0,8.9,"Labour","Conservative"
"Leicestershire North West","E14000858",49.5,2.3,27.4,3.9,0,0,16.9,"Conservative","Labour"
"Leicestershire South","E14000940",53.2,0,22,7.4,0,0,17.4,"Conservative","Labour"
"Leicester South","E14000783",21,5.5,59.8,4.6,0,0,8.3,"Labour","Conservative"
"Leicester West","E14000784",25.6,5.4,46.5,4.4,0,0,17.2,"Labour","Conservative"
"Leigh","E14000785",22.6,0,53.9,2.5,0,0,19.7,"Labour","Conservative"
"Lewes","E14000786",38,5.5,9.9,35.9,0,0,10.7,"Conservative","Liberal Democrat"
"Lewisham Deptford","E14000789",14.9,12.5,60.2,5.3,0,0,4.2,"Labour","Conservative"
"Lewisham East","E14000787",22.3,5.7,55.7,5.7,0,0,9.1,"Labour","Conservative"
"Lewisham West & Penge","E14000788",24.2,8.5,50.6,7.7,0,0,7.8,"Labour","Conservative"
"Leyton & Wanstead","E14000790",22,7.3,58.6,5.7,0,0,5.8,"Labour","Conservative"
"Lichfield","E14000791",55.2,3.8,19.8,5.2,0,0,15.7,"Conservative","Labour"
"Lincoln","E14000792",42.6,0,39.6,4.3,0,0,12.2,"Conservative","Labour"
"Linlithgow & Falkirk East","S14000043",12,0,31,2,0,52,2.7,"Scottish National Party","Labour"
"Liverpool Riverside","E14000793",9.6,12.1,67.4,3.9,0,0,5.7,"Labour","Green Party"
"Liverpool Walton","E14000794",4.7,2.5,81.3,2.3,0,0,9,"Labour","UKIP"
"Liverpool Wavertree","E14000795",10,5.2,69.3,6,0,0,8.2,"Labour","Conservative"
"Liverpool West Derby","E14000796",6.6,2.4,75.2,2.3,0,0,8.5,"Labour","UKIP"
"Livingston","S14000044",10.3,0,27.6,2.1,0,56.9,3.1,"Scottish National Party","Labour"
"Llanelli","W07000045",14.3,1.8,41.3,1.9,23,0,16.3,"Labour","Plaid Cymru"
"Loughborough","E14000797",49.5,3.5,31.9,4.1,0,0,11,"Conservative","Labour"
"Louth & Horncastle","E14000798",51.2,3.1,18,4.5,0,0,21.4,"Conservative","UKIP"
"Ludlow","E14000799",54.3,5.1,12.3,13.5,0,0,14.9,"Conservative","UKIP"
"Luton North","E14000800",29.9,2.3,52.2,3.1,0,0,12.5,"Labour","Conservative"
"Luton South","E14000801",30.7,2.9,44.2,7.5,0,0,12.1,"Labour","Conservative"
"Macclesfield","E14000802",52.5,4.8,22.7,7.7,0,0,12.2,"Conservative","Labour"
"Maidenhead","E14000803",65.8,3.6,11.9,9.9,0,0,8.4,"Conservative","Labour"
"Maidstone & The Weald","E14000804",45.5,2.8,10.5,24.1,0,0,15.9,"Conservative","Liberal Democrat"
"Makerfield","E14000805",19.5,2.5,51.8,3.7,0,0,22.4,"Labour","UKIP"
"Maldon","E14000806",60.6,3.1,11.8,4.5,0,0,14.7,"Conservative","UKIP"
"Manchester Central","E14000807",13.5,8.5,61.3,4.1,0,0,11.1,"Labour","Conservative"
"Manchester Gorton","E14000808",9.7,9.8,67.1,4.2,0,0,8.2,"Labour","Green Party"
"Manchester Withington","E14000809",9.8,8.1,53.7,24,0,0,4.3,"Labour","Liberal Democrat"
"Mansfield","E14000810",28.2,3.1,39.4,3.5,0,0,25.1,"Labour","Conservative"
"Meon Valley","E14000811",61.1,3.5,10.9,9.6,0,0,14.8,"Conservative","UKIP"
"Meriden","E14000812",54.7,4.1,19,5,0,0,16.9,"Conservative","Labour"
"Merthyr Tydfil & Rhymney","W07000071",10.1,1.8,53.9,4.1,9.5,0,18.7,"Labour","UKIP"
"Middlesbrough","E14000819",16.5,4.3,56.8,3.7,0,0,18.7,"Labour","UKIP"
"Middlesbrough South & Cleveland East","E14000820",37.1,2.3,42,3.4,0,0,15.2,"Labour","Conservative"
"Midlothian","S14000045",11.9,2.5,30.2,2.3,0,50.6,2.4,"Scottish National Party","Labour"
"Milton Keynes North","E14000821",47.2,3.9,30.3,6.2,0,0,11.9,"Conservative","Labour"
"Milton Keynes South","E14000822",46.8,3.3,32.1,3.9,0,0,13.2,"Conservative","Labour"
"Mitcham & Morden","E14000823",23.2,3.2,60.7,3.1,0,0,9.5,"Labour","Conservative"
"Mole Valley","E14000824",60.6,5.4,8.3,14.5,0,0,11.2,"Conservative","Liberal Democrat"
"Monmouth","W07000054",49.9,3.4,26.8,5.3,3.9,0,10.5,"Conservative","Labour"
"Montgomeryshire","W07000063",45,3.7,5.6,29.3,5.2,0,11.2,"Conservative","Liberal Democrat"
"Moray","S14000046",31.1,2.7,9.9,2.8,0,49.5,3.9,"Scottish National Party","Conservative"
"Morecambe & Lunesdale","E14000825",45.5,3.2,34.9,3.7,0,0,12.4,"Conservative","Labour"
"Morley & Outwood","E14000826",38.9,2.6,38,3,0,0,16.5,"Conservative","Labour"
"Motherwell & Wishaw","S14000047",7.7,0,31.9,1.2,0,56.5,2.7,"Scottish National Party","Labour"
"Na h-Eileanan an Iar (Western Isles)","S14000027",7.6,0,28.6,2.9,0,54.3,0,"Scottish National Party","Labour"
"Neath","W07000069",15.3,3.2,43.8,3.2,18.1,0,16.4,"Labour","Plaid Cymru"
"Newark","E14000829",57,3.4,21.7,4.6,0,0,12,"Conservative","Labour"
"Newbury","E14000830",61,4.1,8.4,15,0,0,10.8,"Conservative","Liberal Democrat"
"Newcastle-under-Lyme","E14000834",36.9,2.9,38.4,4.2,0,0,16.9,"Labour","Conservative"
"Newcastle upon Tyne Central","E14000831",18.9,4.9,55,6.3,0,0,14.9,"Labour","Conservative"
"Newcastle upon Tyne East","E14000832",17.6,8.7,49.4,11,0,0,12.5,"Labour","Conservative"
"Newcastle upon Tyne North","E14000833",23.5,3.4,46.1,9.7,0,0,16.6,"Labour","Conservative"
"New Forest East","E14000827",56.3,4.7,12.2,9.4,0,0,17.5,"Conservative","UKIP"
"New Forest West","E14000828",59.9,5.8,10.8,6.9,0,0,16.5,"Conservative","UKIP"
"Newport East","W07000055",27.3,2.5,40.7,6.4,3.5,0,18.4,"Labour","Conservative"
"Newport West","W07000056",32.5,3.2,41.2,3.9,4,0,15.2,"Labour","Conservative"
"Newton Abbot","E14000835",47.3,4.6,9.8,23.9,0,0,14,"Conservative","Liberal Democrat"
"Norfolk Mid","E14000816",52.1,4.2,18.4,6.3,0,0,19,"Conservative","UKIP"
"Norfolk North","E14000848",30.9,3,10.2,39.1,0,0,16.9,"Liberal Democrat","Conservative"
"Norfolk North West","E14000859",52.2,3.8,22.8,3.5,0,0,17.8,"Conservative","Labour"
"Norfolk South","E14000941",54.3,5.4,18.4,8.2,0,0,13.7,"Conservative","Labour"
"Norfolk South West","E14000952",50.9,4.1,17.3,4.4,0,0,23.3,"Conservative","UKIP"
"Normanton, Pontefract & Castleford","E14000836",20.8,0,54.9,2.9,0,0,21.3,"Labour","UKIP"
"Northampton North","E14000861",42.4,3.8,34.1,3.6,0,0,16.1,"Conservative","Labour"
"Northamptonshire South","E14000942",60.1,3.7,16.7,5.9,0,0,13.5,"Conservative","Labour"
"Northampton South","E14000862",41.6,3.6,31.8,4.3,0,0,18.3,"Conservative","Labour"
"Norwich North","E14000863",43.7,4.4,33.5,4.3,0,0,13.7,"Conservative","Labour"
"Norwich South","E14000864",23.5,13.9,39.3,13.6,0,0,9.4,"Labour","Conservative"
"Nottingham East","E14000865",20.8,9.9,54.6,4.2,0,0,9.9,"Labour","Conservative"
"Nottingham North","E14000866",21,3.1,54.6,2.4,0,0,18.5,"Labour","Conservative"
"Nottingham South","E14000867",31.7,5.4,47.6,3.5,0,0,11.3,"Labour","Conservative"
"Nuneaton","E14000868",45.5,2.8,34.9,1.8,0,0,14.4,"Conservative","Labour"
"Ochil & South Perthshire","S14000050",20.7,0,28.4,2.6,0,46,2.3,"Scottish National Party","Labour"
"Ogmore","W07000074",15.9,2.1,52.9,3,10.1,0,15.4,"Labour","Conservative"
"Old Bexley & Sidcup","E14000869",52.8,2.9,19,3.5,0,0,18.2,"Conservative","Labour"
"Oldham East & Saddleworth","E14000870",25.9,2.6,39.4,12.9,0,0,19.2,"Labour","Conservative"
"Oldham West & Royton","E14000871",19,1.9,54.8,3.7,0,0,20.6,"Labour","UKIP"
"Orkney & Shetland","S14000051",8.9,0,7.1,41.4,0,37.8,4.8,"Liberal Democrat","Scottish National Party"
"Orpington","E14000872",57.4,3.5,15.6,6.8,0,0,16.7,"Conservative","UKIP"
"Oxford East","E14000873",19.9,11.6,50,10.8,0,0,6.8,"Labour","Conservative"
"Oxford West & Abingdon","E14000874",45.7,4.4,12.7,28.9,0,0,6.9,"Conservative","Liberal Democrat"
"Paisley & Renfrewshire North","S14000052",12.3,1.4,32.7,2.1,0,50.7,0,"Scottish National Party","Labour"
"Paisley & Renfrewshire South","S14000053",7.6,0,38.6,2.2,0,50.9,0,"Scottish National Party","Labour"
"Pendle","E14000875",47.2,2.3,34.9,3.3,0,0,12.2,"Conservative","Labour"
"Penistone & Stocksbridge","E14000876",27.7,0,42,6.3,0,0,22.9,"Labour","Conservative"
"Penrith & The Border","E14000877",59.7,5.3,14.4,8.5,0,0,12.2,"Conservative","Labour"
"Perth & North Perthshire","S14000054",32.7,2.1,8.1,3.8,0,50.5,2,"Scottish National Party","Conservative"
"Peterborough","E14000878",39.7,2.6,35.6,3.8,0,0,15.9,"Conservative","Labour"
"Plymouth Moor View","E14000879",37.6,2.4,35.2,3,0,0,21.5,"Conservative","Labour"
"Plymouth Sutton & Devonport","E14000880",37.8,7.1,36.7,4.2,0,0,14,"Conservative","Labour"
"Pontypridd","W07000075",18.2,2.6,40.7,12.8,11.4,0,13.3,"Labour","Conservative"
"Poole","E14000881",50.1,4.6,12.9,11.8,0,0,16.8,"Conservative","UKIP"
"Poplar & Limehouse","E14000882",25.4,4.8,58.5,4.2,0,0,6.1,"Labour","Conservative"
"Portsmouth North","E14000883",47,3.2,23.8,6.2,0,0,19.1,"Conservative","Labour"
"Portsmouth South","E14000884",34.8,7.5,19.5,22.3,0,0,13.4,"Conservative","Liberal Democrat"
"Preseli Pembrokeshire","W07000065",40.4,3.6,28.1,1.9,6.2,0,10.5,"Conservative","Labour"
"Preston","E14000885",20,4.9,56,3.7,0,0,15.4,"Labour","Conservative"
"Pudsey","E14000886",46.4,3,37.6,3.8,0,0,9.2,"Conservative","Labour"
"Putney","E14000887",53.8,4.8,30,6.3,0,0,4.6,"Conservative","Labour"
"Rayleigh & Wickford","E14000888",54.7,2.9,12.6,3,0,0,22.3,"Conservative","UKIP"
"Reading East","E14000889",46,6.4,33.1,7.4,0,0,7.2,"Conservative","Labour"
"Reading West","E14000890",47.7,2.9,33.9,4.9,0,0,10,"Conservative","Labour"
"Redcar","E14000891",16.2,2.2,43.9,18.5,0,0,18.4,"Labour","Liberal Democrat"
"Redditch","E14000892",47.1,2.2,31.1,3.1,0,0,16.2,"Conservative","Labour"
"Reigate","E14000893",56.8,6.7,12.8,10.5,0,0,13.3,"Conservative","UKIP"
"Renfrewshire East","S14000021",22,0,34,1.9,0,40.6,1.6,"Scottish National Party","Labour"
"Rhondda","W07000052",6.7,1.4,50.7,1.5,27,0,12.7,"Labour","Plaid Cymru"
"Ribble Valley","E14000894",48.6,4.2,22.6,5.3,0,0,15.8,"Conservative","Labour"
"Richmond Park","E14000896",58.2,6,12.3,19.3,0,0,4.2,"Conservative","Liberal Democrat"
"Richmond (Yorks)","E14000895",51.4,4.3,13.2,6.4,0,0,15.2,"Conservative","UKIP"
"Rochdale","E14000897",17,3,46.1,10.3,0,0,18.8,"Labour","UKIP"
"Rochester & Strood","E14000898",44.1,2.9,19.8,2.4,0,0,30.5,"Conservative","UKIP"
"Rochford & Southend East","E14000899",46.4,5,24.7,3.3,0,0,20.5,"Conservative","Labour"
"Romford","E14000900",51,2.5,20.9,2.9,0,0,22.8,"Conservative","UKIP"
"Romsey & Southampton North","E14000901",54.3,4.7,11.9,17.7,0,0,11.4,"Conservative","Liberal Democrat"
"Rossendale & Darwen","E14000902",46.6,2.1,35.1,1.6,0,0,14,"Conservative","Labour"
"Ross, Skye & Lochaber","S14000055",6.2,2.5,4.9,35.9,0,48.1,1.9,"Scottish National Party","Liberal Democrat"
"Rotherham","E14000904",12.3,0,52.5,2.9,0,0,30.2,"Labour","UKIP"
"Rother Valley","E14000903",23.3,0,43.6,4.2,0,0,28.1,"Labour","UKIP"
"Rugby","E14000905",49.1,2.9,27.9,5.7,0,0,14,"Conservative","Labour"
"Ruislip, Northwood & Pinner","E14000906",59.6,3.5,20.1,5,0,0,10.9,"Conservative","Labour"
"Runnymede & Weybridge","E14000907",59.7,4.1,15.5,6.7,0,0,13.9,"Conservative","Labour"
"Rushcliffe","E14000908",51.4,6.5,26.3,5,0,0,10.8,"Conservative","Labour"
"Rutherglen & Hamilton West","S14000056",7.6,0,35.2,1.8,0,52.6,2.3,"Scottish National Party","Labour"
"Rutland & Melton","E14000909",55.6,4.3,15.4,8.1,0,0,15.9,"Conservative","UKIP"
"Saffron Walden","E14000910",57.2,3.8,11.8,10.6,0,0,13.8,"Conservative","UKIP"
"Salford & Eccles","E14000911",20.4,5.2,49.4,3.7,0,0,18,"Labour","Conservative"
"Salisbury","E14000912",55.6,5.4,15.3,10.1,0,0,12.1,"Conservative","Labour"
"Scarborough & Whitby","E14000913",43.2,4.6,30.2,4.5,0,0,17.1,"Conservative","Labour"
"Scunthorpe","E14000914",33.2,2.4,41.7,2.1,0,0,17.1,"Labour","Conservative"
"Sedgefield","E14000915",29.5,3.1,47.2,3.5,0,0,16.6,"Labour","Conservative"
"Sefton Central","E14000916",29.6,2.4,53.8,4.3,0,0,10,"Labour","Conservative"
"Selby & Ainsty","E14000917",52.5,2.8,26.8,3.6,0,0,14,"Conservative","Labour"
"Sevenoaks","E14000918",56.9,4.5,12.9,7.9,0,0,17.9,"Conservative","UKIP"
"Sheffield Brightside & Hillsborough","E14000921",11,4.3,56.6,4.5,0,0,22.1,"Labour","UKIP"
"Sheffield Central","E14000919",11.1,15.8,55,9.7,0,0,7.5,"Labour","Green Party"
"Sheffield Hallam","E14000922",13.6,3.2,35.8,40,0,0,6.4,"Liberal Democrat","Labour"
"Sheffield Heeley","E14000923",16.2,6.1,48.2,11.3,0,0,17.4,"Labour","UKIP"
"Sheffield South East","E14000920",17.4,2.7,51.4,5.3,0,0,21.9,"Labour","UKIP"
"Sherwood","E14000924",45,2.2,35.9,2.2,0,0,14.6,"Conservative","Labour"
"Shipley","E14000925",50,5.3,31,3.9,0,0,8.9,"Conservative","Labour"
"Shrewsbury & Atcham","E14000926",45.5,4.2,27.8,7.9,0,0,14.4,"Conservative","Labour"
"Shropshire North","E14000849",51.4,4.9,20.1,6,0,0,17.6,"Conservative","Labour"
"Sittingbourne & Sheppey","E14000927",49.5,2.4,19.6,3.2,0,0,24.8,"Conservative","UKIP"
"Skipton & Ripon","E14000928",55.4,5.7,17.4,7.4,0,0,14,"Conservative","Labour"
"Sleaford & North Hykeham","E14000929",56.2,0,17.3,5.7,0,0,15.7,"Conservative","Labour"
"Slough","E14000930",33.3,2.5,48.5,2.6,0,0,13,"Labour","Conservative"
"Solihull","E14000931",49.2,3,10.4,25.7,0,0,11.6,"Conservative","Liberal Democrat"
"Somerset North","E14000850",53.5,6.5,14.3,12.7,0,0,13,"Conservative","Labour"
"Somerset North East","E14000846",49.8,5.5,24.8,7.9,0,0,12,"Conservative","Labour"
"Somerton & Frome","E14000932",53,9,7.3,19.4,0,0,10.7,"Conservative","Liberal Democrat"
"Southampton Itchen","E14000955",41.7,4.2,36.5,3.6,0,0,13.4,"Conservative","Labour"
"Southampton Test","E14000956",32.5,5.9,41.3,4.9,0,0,12.8,"Labour","Conservative"
"Southend West","E14000957",49.8,4.7,18.3,9.3,0,0,17.5,"Conservative","Labour"
"South Holland & The Deepings","E14000939",59.6,3.2,12.4,3,0,0,21.8,"Conservative","UKIP"
"Southport","E14000958",28,2.8,19.2,31,0,0,16.8,"Liberal Democrat","Conservative"
"South Ribble","E14000943",46.4,0,35.1,4.4,0,0,14.1,"Conservative","Labour"
"South Shields","E14000944",16.6,4.5,51.3,1.8,0,0,22,"Labour","UKIP"
"Spelthorne","E14000959",49.7,3.5,18.6,6.4,0,0,20.9,"Conservative","UKIP"
"Stafford","E14000965",48.4,2.9,29.6,2.8,0,0,12.9,"Conservative","Labour"
"Staffordshire Moorlands","E14000966",51.1,2.9,27.2,4.1,0,0,14.6,"Conservative","Labour"
"Staffordshire South","E14000945",59.4,2.6,18.4,2.9,0,0,16.7,"Conservative","Labour"
"St Albans","E14000960",46.6,3.7,23.3,18.5,0,0,7.8,"Conservative","Labour"
"Stalybridge & Hyde","E14000967",28.7,4.5,45,3.1,0,0,18.8,"Labour","Conservative"
"St Austell & Newquay","E14000961",40.2,4.6,10.2,24,0,0,16.9,"Conservative","Liberal Democrat"
"Stevenage","E14000968",44.5,2.9,34.2,3.3,0,0,14.4,"Conservative","Labour"
"St Helens North","E14000962",19.6,3.8,57,4.4,0,0,15.1,"Labour","Conservative"
"St Helens South & Whiston","E14000963",15.9,4.6,59.8,5.7,0,0,14,"Labour","Conservative"
"Stirling","S14000057",23.1,3.1,25.5,2.7,0,45.6,0,"Scottish National Party","Labour"
"St Ives","E14000964",38.3,6.3,9.3,33.2,0,0,11.8,"Conservative","Liberal Democrat"
"Stockport","E14000969",24.5,4.4,49.9,7.7,0,0,13.1,"Labour","Conservative"
"Stockton North","E14000970",28,0,49.1,2.2,0,0,19.2,"Labour","Conservative"
"Stockton South","E14000971",46.8,1.8,37,2.6,0,0,10.6,"Conservative","Labour"
"Stoke-on-Trent Central","E14000972",22.5,3.6,39.3,4.2,0,0,22.7,"Labour","UKIP"
"Stoke-on-Trent North","E14000973",27.4,2.8,39.9,2.9,0,0,24.7,"Labour","Conservative"
"Stoke-on-Trent South","E14000974",32.7,2.6,39.2,3.3,0,0,21.2,"Labour","Conservative"
"Stone","E14000975",54.7,2.5,20.2,5.3,0,0,16.2,"Conservative","Labour"
"Stourbridge","E14000976",46,2.2,31.5,3.3,0,0,16.9,"Conservative","Labour"
"Stratford-on-Avon","E14000977",57.7,4.1,13,12,0,0,13.2,"Conservative","UKIP"
"Streatham","E14000978",25.1,8.9,53,9,0,0,3.2,"Labour","Conservative"
"Stretford & Urmston","E14000979",27.8,4.7,53,2.9,0,0,10.9,"Labour","Conservative"
"Stroud","E14000980",45.7,4.6,37.7,3.4,0,0,8,"Conservative","Labour"
"Suffolk Central & Ipswich North","E14000624",56.1,4.9,18.8,6.1,0,0,13.8,"Conservative","Labour"
"Suffolk Coastal","E14000981",51.9,5.9,18,8.6,0,0,15.6,"Conservative","Labour"
"Suffolk South","E14000946",53.1,4.3,19.3,7.8,0,0,15.2,"Conservative","Labour"
"Suffolk West","E14001034",52.2,3.6,17.5,5,0,0,21.7,"Conservative","UKIP"
"Sunderland Central","E14000982",23.4,4.1,50.2,2.6,0,0,19.1,"Labour","Conservative"
"Surrey East","E14000681",57.4,3.8,11.8,9.2,0,0,17,"Conservative","UKIP"
"Surrey Heath","E14000983",59.9,4.4,11.2,9.1,0,0,14.3,"Conservative","UKIP"
"Surrey South West","E14000953",59.9,5.4,9.5,6.3,0,0,9.9,"Conservative","UKIP"
"Sussex Mid","E14000817",56.1,4.3,13.9,11.5,0,0,12,"Conservative","Labour"
"Sutton & Cheam","E14000984",41.5,2.1,11.1,33.7,0,0,10.7,"Conservative","Liberal Democrat"
"Sutton Coldfield","E14000985",54.6,2.8,22.3,5.2,0,0,14.7,"Conservative","Labour"
"Swansea East","W07000048",15.3,0,53,4.1,10.4,0,17.2,"Labour","UKIP"
"Swansea West","W07000047",22.6,5.1,42.6,9,6.4,0,13.5,"Labour","Conservative"
"Swindon North","E14000851",50.3,3.3,27.8,3.3,0,0,15.3,"Conservative","Labour"
"Swindon South","E14000947",46.2,3.6,34.5,3.7,0,0,12,"Conservative","Labour"
"Tamworth","E14000986",50,2.4,26.1,3,0,0,18.5,"Conservative","Labour"
"Tatton","E14000987",58.6,3.8,18.3,8.5,0,0,10.8,"Conservative","Labour"
"Taunton Deane","E14000988",48.1,4.5,9.2,21.3,0,0,12,"Conservative","Liberal Democrat"
"Telford","E14000989",39.6,2.3,37.8,2.3,0,0,18,"Conservative","Labour"
"Tewkesbury","E14000990",54.5,4,14.8,13.8,0,0,12.9,"Conservative","Labour"
"Thanet North","E14000852",49,3.7,17.9,3.5,0,0,25.7,"Conservative","UKIP"
"Thanet South","E14000948",38.1,2.2,23.8,1.9,0,0,32.4,"Conservative","UKIP"
"Thirsk & Malton","E14000993",52.6,4.6,15.4,9,0,0,14.9,"Conservative","Labour"
"Thornbury & Yate","E14000994",41,2.7,7.8,37.9,0,0,10.6,"Conservative","Liberal Democrat"
"Thurrock","E14000995",33.7,0,32.6,1.3,0,0,31.7,"Conservative","Labour"
"Tiverton & Honiton","E14000996",54,6.4,12.7,10.5,0,0,16.5,"Conservative","UKIP"
"Tonbridge & Malling","E14000997",59.4,4.4,14.2,6.8,0,0,15.2,"Conservative","UKIP"
"Tooting","E14000998",41.9,4.1,47.2,3.9,0,0,2.9,"Labour","Conservative"
"Torbay","E14000999",40.7,3.2,8.7,33.8,0,0,13.6,"Conservative","Liberal Democrat"
"Torfaen","W07000053",23.1,2,44.6,3.4,5.7,0,19,"Labour","Conservative"
"Totnes","E14001001",53,10.3,12.7,9.9,0,0,14.1,"Conservative","UKIP"
"Tottenham","E14001002",12,9.2,67.3,4.1,0,0,3.6,"Labour","Conservative"
"Truro & Falmouth","E14001003",44,8.7,15.2,16.8,0,0,11.6,"Conservative","Liberal Democrat"
